epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,109.125,0.68894,1.23372,1.07885,0.58786,0.57573,0.52995,0.36593,1.2793,2.80708,1.76798,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488
74,110.537,0.68052,1.1535,1.10522,0.71667,0.6,0.66071,0.43707,1.33975,2.44289,1.75792,0.00513276,0.00171092,0.00513276,0.00171092,0.00513276,0.00171092,0.00513276,0.00171092
75,111.885,0.73836,1.4093,1.11542,0.71667,0.6,0.66071,0.43707,1.33975,2.44289,1.75792,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696
76,113.265,0.69194,1.31417,1.17814,0.70484,0.6,0.52264,0.33818,1.43126,2.57495,1.83847,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
77,114.559,0.67113,1.40886,1.12583,0.70484,0.6,0.52264,0.33818,1.43126,2.57495,1.83847,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904
78,115.957,0.63964,1.29818,1.09352,0.71103,0.6,0.61334,0.42756,1.59367,2.61547,1.9751,0.00508524,0.00169508,0.00508524,0.00169508,0.00508524,0.00169508,0.00508524,0.00169508
79,117.284,0.7829,1.17633,1.14802,0.71103,0.6,0.61334,0.42756,1.59367,2.61547,1.9751,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112
80,118.713,0.63238,1.24871,1.08934,0.69244,0.6,0.62482,0.4321,1.51202,2.52354,1.93271,0.00506148,0.00168716,0.00506148,0.00168716,0.00506148,0.00168716,0.00506148,0.00168716
81,120.067,0.67942,1.19032,1.07483,0.69244,0.6,0.62482,0.4321,1.51202,2.52354,1.93271,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
82,121.538,0.60281,1.28027,1.09636,1,0.59219,0.69154,0.49,1.48151,2.47753,1.87394,0.00503772,0.00167924,0.00503772,0.00167924,0.00503772,0.00167924,0.00503772,0.00167924
83,122.882,0.58111,1.01355,1.03941,1,0.59219,0.69154,0.49,1.48151,2.47753,1.87394,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528
84,124.336,0.60726,1.01685,1.04447,0.98716,0.6,0.72262,0.47576,1.38541,2.47158,1.78087,0.00501396,0.00167132,0.00501396,0.00167132,0.00501396,0.00167132,0.00501396,0.00167132
85,125.773,0.6916,1.45508,1.25563,0.98716,0.6,0.72262,0.47576,1.38541,2.47158,1.78087,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736
86,127.203,0.64251,1.13773,1.0696,0.97439,0.6,0.69628,0.4789,1.32831,2.26365,1.73133,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
